set	tool	n_genomes	comp_mae	comp_rmse	comp_r2	comp_outlier_rate	cont_mae	cont_rmse	cont_r2	cont_outlier_rate
A	MAGICC	600	1.6684	2.9943	0.9701	0.1667	0.4851	1.3416		0.0000
A	CheckM2	600	2.1975	3.3189	0.9646	0.0000	0.4555	0.8083		0.0000
A	CoCoPyE	600	3.3647	5.0391	0.9259	0.5000	1.0793	2.4749		0.1667
A	DeepCheck	600	3.2906	4.6511	0.9296	0.3333	0.5186	0.8132		0.0000
B	MAGICC	600	1.5044	5.4414		2.1667	3.6393	5.4329	0.9636	0.8333
B	CheckM2	600	0.4200	1.5281		0.0000	15.1443	22.9464	0.5199	28.0000
B	CoCoPyE	600	2.7702	6.1701		1.8333	16.7291	24.7076	0.7269	33.5000
B	DeepCheck	600	5.4108	9.2244		7.3333	21.5603	29.1686	0.4278	44.1667
C	MAGICC	1000	2.9584	5.0146	0.9064	0.7000	5.0520	7.9446	0.9390	2.8000
C	CheckM2	1000	7.9939	9.8434	0.7289	4.0000	42.3717	49.9557	0.3243	73.7000
C	CoCoPyE	1000	15.7252	18.6804	0.4681	34.5000	34.0676	42.0425	0.2837	62.8000
C	DeepCheck	1000	17.9672	20.4909	0.5857	42.7000	44.5557	52.1549	0.2625	76.2000
D	MAGICC	1000	4.0559	6.7470	0.8098	2.2000	5.3953	8.4658	0.9241	3.7000
D	CheckM2	1000	9.8873	14.1192	0.4801	16.2000	36.9244	44.0195	0.3656	69.6000
D	CoCoPyE	1000	6.1400	8.9899	0.6629	4.1000	25.7256	33.7658	0.5642	51.0000
D	DeepCheck	1000	9.9750	13.9181	0.4107	15.0000	41.7740	49.5278	0.1065	73.8000
